STATE,UNIT_TYPE,PARKNAME,Shape__Are,mi,km,acres,measure_type
AK,National Historical Park,Klondike Gold Rush,204807453.2,,,13191,area
AK,National Historical Park,Sitka,1585915.148,,,59,area
AK,National Monument,Aniakchak,1858321465,,,586000,area
AK,National Monument,Cape Krusenstern,17732641950,,,649082,area
AK,National Park,Denali,93900615021,,,6075030,area
AK,National Park,Gates of the Arctic,2.12E+11,,,8472506,area
AK,National Park,Glacier Bay,48488640182,,,3284500,area
AK,National Park,Katmai,54700887075,,,4093067,area
AK,National Park,Kenai Fjords,10644791855,,,669650,area
AK,National Park,Kobuk Valley,47596457123,,,1750716,area
AK,National Park,Lake Clark,43868618503,,,4030130,area
AK,National Park,Wrangell - St Elias,1.43E+11,,,13175799,area
AK,National Preserve,Aniakchak,6295613356,,,464118,area
AK,National Preserve,Bering Land Bridge,67597384711,,,2700000,area
AK,National Preserve,Denali,26357033071,,,0,area
AK,National Preserve,Gates of the Arctic,25732643142,,,,
AK,National Preserve,Glacier Bay,883612940.4,,,,
AK,National Preserve,Katmai,6322639620,,,,
AK,National Preserve,Lake Clark,23601541336,,,,
AK,National Preserve,Noatak,1.89E+11,,,,
AK,National Preserve,Wrangell - St Elias,88466472678,,,,
AK,National Preserve,Yukon - Charley Rivers,57303516507,,,,
AK,National Wild & Scenic River,Alagnak,471454875.2,64,103,,length
AL,National Historic Site,Tuskegee Institute,352543.7813,,,,
AL,National Historic Site,Tuskegee Airmen,507337.4453,,,,
AL,National Military Park,Horseshoe Bend,11989088.21,,,,
AL,National Monument,Russell Cave,1858120.617,,,,
AL,National Monument,Birmingham Civil Rights,5140.574219,,,,
AL,National Monument,Freedom Riders,46781.17188,,,,
AL,National Preserve,Little River Canyon,91891968.23,,,,
AL,National Trails Syste,Selma to Montgomery,113747.5078,,,,
AL,Parkway,Natchez Trace,310339969.3,,,,
AR,National Historic Site,President William Jefferson Clinton Birthplace Home,3372.277344,,,,
AR,National Historic Site,Little Rock Central High School,173527.8398,,,,
AR,National Historic Site,Fort Smith,433548.5859,,,,
AR,National Memorial,Arkansas Post,4505848.742,,,,
AR,National Military Park,Pea Ridge,26798846.47,,,,
AR,National Park,Hot Springs,32612774.26,,,,
AR,National River,Buffalo,580190529.8,,,,
AS,National Park,National Park of American Samoa,48283336.7,,,,
AZ,National Historic Site,Fort Bowie,5645817.184,,,,
AZ,National Historic Site,Hubbell Trading Post,983458.7266,,,,
AZ,National Historical Park,Tumacácori,2026700.305,,,,
AZ,National Memorial,Coronado,26779356.21,,,,
AZ,National Monument,Pipe Spring,252896.6953,,,,
AZ,National Monument,Canyon de Chelly,548633511.4,,,,
AZ,National Monument,Navajo,2274168.422,,,,
AZ,National Monument,Walnut Canyon,19671428.95,,,,
AZ,National Monument,Sunset Crater Volcano,18545290.47,,,,
AZ,National Monument,Wupatki,217110219.4,,,,
AZ,National Monument,Casa Grande Ruins,2730084.227,,,,
AZ,National Monument,Chiricahua,68895752.65,,,,
AZ,National Monument,Montezuma Castle,6060542.723,,,,
AZ,National Monument,Organ Pipe Cactus,1867745807,,,,
AZ,National Monument,Tonto,6567120.875,,,,
AZ,National Monument,Tuzigoot,4885591.965,,,,
AZ,National Monument,Hohokam Pima,9779859.277,,,,
AZ,National Park,Saguaro,530595606.2,,,,
AZ,National Park,Grand Canyon,7487847409,,,,
AZ,National Park,Petrified Forest,1347313174,,,,
AZ,National Recreation Area,Glen Canyon,8057114941,,,,
AZ,National Recreation Area,Lake Mead,9248996734,,,,
CA,National Historic Site,Fort Point,162800.9023,,,,
CA,National Historic Site,Eugene O'Neill,85735.62891,,,,
CA,National Historic Site,John Muir,2242426.734,,,,
CA,National Historic Site,Manzanar,5134513.367,,,,
CA,National Historical Park,Rosie the Riveter WWII Home Front,971229.625,,,,
CA,National Historical Park,San Francisco Maritime,644204.2539,,,,
CA,National Memorial,Port Chicago Naval Magazine,42316.8125,,,,
CA,National Monument,Cabrillo,916420.5391,,,,
CA,National Monument,Lava Beds,340718248.6,,,,
CA,National Monument,Muir Woods,3614087.051,,,,
CA,National Monument,Devils Postpile,5164892.434,,,,
CA,National Monument,César E. Chávez,714654.7617,,,,
CA,National Monument,Castle Mountain,127057532.8,,,,
CA,National Monument,Tule Lake,273265.4844,,,,
CA,National Park,Yosemite,4861851614,,,,
CA,National Park,Channel Islands,1449812256,,,,
CA,National Park,Death Valley,21544234990,,,,
CA,National Park,Joshua Tree,4698082882,,,,
CA,National Park,Lassen Volcanic,753097653.8,,,,
CA,National Park,Pinnacles,167545646.5,,,,
CA,National Park,Redwood,1011699123,,,,
CA,National Park,Sequoia,2553244942,,,,
CA,National Park,Kings Canyon,2909305719,,,,
CA,National Preserve,Mojave,9627303592,,,,
CA,National Recreation Area,Golden Gate,535132455.1,,,,
CA,National Recreation Area,Santa Monica Mountains,909865167.8,,,,
CA,National Recreation Area,Whiskeytown,296227722.1,,,,
CA,National Seashore,Point Reyes,469817811.6,,,,
CO,National Historic Site,Amache,3087971.051,,,,
CO,National Historic Site,Sand Creek Massacre,83063902.21,,,,
CO,National Historic Site,Bent's Old Fort,5420545.254,,,,
CO,National Monument,Colorado,137403445,,,,
CO,National Monument,Dinosaur,1481170409,,,,
CO,National Monument,Hovenweep,5195288.906,,,,
CO,National Monument,Yucca House,227843.4531,,,,
CO,National Monument,Florissant Fossil Beds,41975465.05,,,,
CO,National Park,Black Canyon of the Gunnison,207094307.7,,,,
CO,National Park,Great Sand Dunes,698046849.4,,,,
CO,National Park,Mesa Verde,343422764.2,,,,
CO,National Park,Rocky Mountain,1863155655,,,,
CO,National Preserve,Great Sand Dunes,270940284.5,,,,
CO,National Recreation Area,Curecanti,273475556.3,,,,
CO,National Recreation Area,Chickasaw,58919202.46,,,,
CT,National Historical Park,Weir Farm,492352.3984,,,,
CT,National Scenic Trail,Appalachian,2228012426,,,,
DC,National Historic Site,Pennsylvania Avenue,124211.7109,,,,
DC,National Historic Site,Mary McLeod Bethune Council House,532.5507813,,,,
DC,National Historic Site,Ford's Theatre,2010.957031,,,,
DC,National Historic Site,Frederick Douglass,56143.05469,,,,
DC,National Historic Site,Carter G. Woodson Home,1273.03125,,,,
DC,National Historical Park,Chesapeake and Ohio Canal,140220473.9,,,,
DC,National Memorial,Lyndon Baines Johnson Memorial Grove,120867.4961,,,,
DC,National Memorial,Theodore Roosevelt Island,670314.0703,,,,
DC,National Memorial,World War II Memorial,57408.39063,,,,
DC,National Memorial,Franklin Delano Roosevelt,54428.30859,,,,
DC,National Memorial,Thomas Jefferson Memorial,131694.9375,,,,
DC,National Memorial,Lincoln,48757.28906,,,,
DC,National Memorial,Washington Monument,698443.168,,,,
DC,National Memorial,Korean War Veterans,10418.44141,,,,
DC,National Memorial,Vietnam Veterans,14616.56641,,,,
DC,National Memorial,Martin Luther King Jr,18329.22266,,,,
DC,National Memorial,World War I,13826.66016,,,,
DC,National Memorial,Dwight D. Eisenhower,22355.57422,,,,
DC,National Monument,Belmont-Paul Women's Equality,2306.460938,,,,
DC,Other Designation,National Capital Parks,49153455.32,,,,
DC,Other Designation,National Mall,1154397.695,,,,
DC,Other Designation,Rock Creek Park,11722714.78,,,,
DC,Other Designation,Constitution Gardens,285615.6367,,,,
DC,Other Designation,President's Park (White House),122787.8672,,,,
DE,National Historical Park,First State,7934331.363,,,,
FL,National Memorial,De Soto,156650.9238,,,,
FL,National Memorial,Fort Caroline,764984.75,,,,
