,d_Des_Tp,Unit_Nm,State_Nm,d_State_Nm,GIS_Acres,type
59,State Park,Homolovi Ruins State Park,AZ,Arizona,740,State Park
60,State Park,Homolovi Ruins State Park,AZ,Arizona,643,State Park
61,State Park,Roper Lake State Park,AZ,Arizona,81,State Park
62,State Park,Lyman Lake State Park,AZ,Arizona,66,State Park
63,State Park,San Rafael Ranch Natural Area,AZ,Arizona,3563,State Park
64,State Park,Patagonia Lake State Park,AZ,Arizona,600,State Park
65,Recreation Management Area,Ben Avery Shooting Facility,AZ,Arizona,1676,"State Preserve, Reserve, or Recreation Area"
66,Recreation Management Area,Mohave County Shooting Range,AZ,Arizona,724,"State Preserve, Reserve, or Recreation Area"
67,Recreation Management Area,Northern Arizona Shooting Range,AZ,Arizona,159,"State Preserve, Reserve, or Recreation Area"
68,Recreation Management Area,Rio Salado Shooting Range,AZ,Arizona,40,"State Preserve, Reserve, or Recreation Area"
69,Recreation Management Area,Sierra Vista Shooting Range,AZ,Arizona,624,"State Preserve, Reserve, or Recreation Area"
70,Recreation Management Area,Three Points Shooting Range,AZ,Arizona,1303,"State Preserve, Reserve, or Recreation Area"
71,State Park,Tri-State Shooting Park,AZ,Arizona,313,State Park
72,State Park,Kartchner Caverns State Park,AZ,Arizona,727,State Park
73,State Park,Cattail Cove State Park,AZ,Arizona,2161,State Park
74,State Park,Dead Horse Ranch State Park,AZ,Arizona,335,State Park
75,State Park,Fort Verde State Historic Park,AZ,Arizona,1,State Park
76,State Park,Fort Verde State Historic Park,AZ,Arizona,10,State Park
77,State Park,Jerome State Historic Park,AZ,Arizona,7,State Park
78,State Park,Lake Havasu State Park,AZ,Arizona,492,State Park
79,State Park,McFarland State Historic Park,AZ,Arizona,2,State Park
80,State Park,Oracle State Park,AZ,Arizona,4121,State Park
81,State Park,Picacho Peak State Park,AZ,Arizona,3461,State Park
82,State Park,Red Rock State Park,AZ,Arizona,282,State Park
83,State Park,Riordan Mansion State Historic Park,AZ,Arizona,5,State Park
84,State Park,Slide Rock State Park,AZ,Arizona,54,State Park
85,State Park,Sonoita Creek Natural Area,AZ,Arizona,5239,State Park
86,State Park,Tombstone Courthouse State Historic Park,AZ,Arizona,4,State Park
87,State Park,Tubac Presidio State Historic Park,AZ,Arizona,8,State Park
88,State Park,Verde River Greenway State Natural Area,AZ,Arizona,647,State Park
89,State Park,Yuma Quartermaster Depot State Historic Park,AZ,Arizona,10,State Park
601,State Park,Woodcutter's Canyon Linear Park,AZ,Arizona,24,State Park
602,State Park,Bidwell Mansion State Park,CA,California,5,State Park
603,State Park,Santa Maria Fair Park,CA,California,36,State Park
604,State Park,Teague Park,CA,California,2,State Park
853,State Park,Mount Tamalpais State Park,CA,California,28,State Park
854,State Historic or Cultural Area,Bodie State Historic Park,CA,California,15,"Historical Park, Site, Monument, or Memorial"
855,State Park,Saddleback Butte State Park,CA,California,87,State Park
856,State Park,San Onofre State Beach,CA,California,2043,State Park
857,State Park,D.L. Bliss State Park,CA,California,1162,State Park
858,State Park,McArthur-Burney Falls Memorial State Park,CA,California,76,State Park
859,State Park,Pfeiffer Big Sur State Park,CA,California,29,State Park
860,State Historic or Cultural Area,California Indian Heritage Center,CA,California,44,"Historical Park, Site, Monument, or Memorial"
861,State Park,Anza-Borrego Desert State Park,CA,California,2607,State Park
862,State Park,Anza-Borrego Desert State Park,CA,California,610,State Park
863,State Park,The Forest of Nisene Marks State Park,CA,California,0,State Park
864,State Park,Plumas-Eureka State Park,CA,California,497,State Park
865,State Park,Leo Carrillo State Park,CA,California,76,State Park
866,State Park,Julia Pfeiffer Burns State Park,CA,California,1879,State Park
867,State Historic or Cultural Area,Fort Ross State Historic Park,CA,California,86,"Historical Park, Site, Monument, or Memorial"
868,State Park,D.L. Bliss State Park,CA,California,393,State Park
869,State Park,Doheny State Beach,CA,California,212,State Park
870,State Park,Emerald Bay State Park,CA,California,716,State Park
871,State Park,MacKerricher State Park,CA,California,452,State Park
872,State Park,Manchester State Park,CA,California,3855,State Park
873,State Park,Morro Bay State Park,CA,California,456,State Park
874,State Park,Refugio State Beach,CA,California,791,State Park
875,State Park,Russian Gulch State Park,CA,California,41,State Park
876,State Park,Salt Point State Park,CA,California,1046,State Park
877,State Park,Silver Strand State Beach,CA,California,7228,State Park
878,State Park,Sonoma Coast State Park,CA,California,573,State Park
879,State Park,Van Damme State Park,CA,California,21,State Park
880,State Historic or Cultural Area,Cemetery Hole Fishing Access,CA,California,21,"Historical Park, Site, Monument, or Memorial"
881,State Park,Mendocino Woodlands State Park,CA,California,651,State Park
882,State Historic or Cultural Area,El Presidio de Santa Barbara State Historic Park,CA,California,6,"Historical Park, Site, Monument, or Memorial"
883,State Historic or Cultural Area,Anderson Marsh State Historic Park,CA,California,1354,"Historical Park, Site, Monument, or Memorial"
884,State Historic or Cultural Area,Antelope Valley Indian Museum,CA,California,162,"Historical Park, Site, Monument, or Memorial"
885,State Historic or Cultural Area,Bale Grist Mill State Historic Park,CA,California,1,"Historical Park, Site, Monument, or Memorial"
886,State Historic or Cultural Area,Benicia Capitol State Historic Park,CA,California,1,"Historical Park, Site, Monument, or Memorial"
887,State Historic or Cultural Area,Bidwell Mansion State Historic Park,CA,California,5,"Historical Park, Site, Monument, or Memorial"
